company,location_hq,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in_mil,year,latitude,longitude,mapped_industry,profit_margins,pe_ratio
Tier Mobility,Berlin,Germany,Europe,180,2022-08-23,16.0,1125,945,Transportation,Series D,646.0,2022,52.52437,13.41053,Other,0.31267793340442784,149.10145341991296
Skedulo,San Francisco Bay Area,USA,North America,31,2022-08-23,8.0,388,357,HR,Series C,114.0,2022,37.77493,-122.41942,HR,0.06034258863211765,164.1777929426829
Plato,San Francisco Bay Area,USA,North America,29,2022-08-23,50.0,58,29,HR,Seed,3.0,2022,37.77493,-122.41942,HR,0.06034258863211765,164.1777929426829
DataRobot,Boston,USA,North America,242,2022-08-23,26.0,930,688,Data,Series G,1000.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
NSO,Tel Aviv,Israel,Asia,100,2022-08-21,14.0,714,614,Security,Seed,1.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Tufin,Boston,USA,North America,55,2022-08-21,10.0,550,495,Security,Acquired,21.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Amperity,Seattle,USA,North America,13,2022-08-20,3.0,433,420,Marketing,Series D,187.0,2022,47.60621,-122.33207,Retail,0.04584106071309091,193.58928577969698
Wayfair,Boston,USA,North America,870,2022-08-19,5.0,17400,16530,Retail,Post-IPO,1700.0,2022,42.35843,-71.05977,Consumer,0.17082623261628355,113.24898568126481
New Relic,San Francisco Bay Area,USA,North America,110,2022-08-18,5.0,2200,2090,Infrastructure,Post-IPO,214.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Wheel,Austin,USA,North America,35,2022-08-18,17.0,206,171,Healthcare,Series C,215.0,2022,30.26715,-97.74306,Healthcare,0.5421634367891365,286.19442704934613
Malwarebytes,San Francisco Bay Area,USA,North America,125,2022-08-17,14.0,893,768,Security,Series B,80.0,2022,37.35411,-121.95524,Other,0.31267793340442784,149.10145341991296
AlayaCare,Montreal,Canada,North America,80,2022-08-16,14.0,571,491,Healthcare,Series D,293.0,2022,45.50884,-73.58781,Healthcare,0.5421634367891365,286.19442704934613
Pliops,Tel Aviv,Israel,Asia,12,2022-08-16,9.0,133,121,Data,Series D,205.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Woven,Indianapolis,USA,North America,5,2022-08-16,15.0,33,28,HR,Series A,11.0,2022,39.76838,-86.15804,HR,0.06034258863211765,164.1777929426829
Sema4,Stamford,USA,North America,250,2022-08-15,13.0,1923,1673,Healthcare,Post-IPO,791.0,2022,41.05343,-73.53873,Healthcare,0.5421634367891365,286.19442704934613
Blend,San Francisco Bay Area,USA,North America,220,2022-08-15,12.0,1833,1613,Finance,Post-IPO,665.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
ContraFect,New York City,USA,North America,16,2022-08-15,37.0,43,27,Healthcare,Post-IPO,380.0,2022,40.71427,-74.00597,Healthcare,0.5421634367891365,286.19442704934613
Peloton,New York City,USA,North America,784,2022-08-12,13.0,6031,5247,Fitness,Post-IPO,1900.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Truepill,San Francisco Bay Area,USA,North America,175,2022-08-11,33.0,530,355,Healthcare,Series D,255.0,2022,37.66882,-122.0808,Healthcare,0.5421634367891365,286.19442704934613
Calm,San Francisco Bay Area,USA,North America,90,2022-08-11,20.0,450,360,Healthcare,Series C,218.0,2022,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
FourKites,Chicago,USA,North America,60,2022-08-11,8.0,750,690,Logistics,Series D,201.0,2022,41.85003,-87.65005,Other,0.31267793340442784,149.10145341991296
Marketforce,Nairobi,Kenya,Africa,54,2022-08-11,9.0,600,546,Retail,Series A,42.0,2022,-1.28333,36.81667,Consumer,0.17082623261628355,113.24898568126481
Trybe,Sao Paulo,Brazil,South America,47,2022-08-10,10.0,470,423,Education,Series B,40.0,2022,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Permutive,London,United Kingdom,Europe,30,2022-08-10,12.0,250,220,Marketing,Series C,105.0,2022,51.50853,-0.12574,Retail,0.04584106071309091,193.58928577969698
GoHealth,Chicago,USA,North America,800,2022-08-09,20.0,4000,3200,Healthcare,Post-IPO,75.0,2022,41.85003,-87.65005,Healthcare,0.5421634367891365,286.19442704934613
Hootsuite,Vancouver,Canada,North America,400,2022-08-09,30.0,1333,933,Marketing,Series C,300.0,2022,49.24966,-123.11934,Retail,0.04584106071309091,193.58928577969698
Nutanix,San Francisco Bay Area,USA,North America,270,2022-08-09,4.0,6750,6480,Infrastructure,Post-IPO,1100.0,2022,37.33939,-121.89496,Other,0.31267793340442784,149.10145341991296
Quanterix,Boston,USA,North America,130,2022-08-09,25.0,520,390,Healthcare,Post-IPO,533.0,2022,42.35843,-71.05977,Healthcare,0.5421634367891365,286.19442704934613
MadeiraMadeira,Curitiba,Brazil,South America,60,2022-08-09,3.0,2000,1940,Retail,Series E,338.0,2022,-25.42778,-49.27306,Consumer,0.17082623261628355,113.24898568126481
Shogun,San Francisco Bay Area,USA,North America,48,2022-08-09,30.0,160,112,Retail,Series C,114.0,2022,37.5841,-122.36608,Consumer,0.17082623261628355,113.24898568126481
Groupon,Chicago,USA,North America,500,2022-08-08,15.0,3333,2833,Retail,Post-IPO,1400.0,2022,41.85003,-87.65005,Consumer,0.17082623261628355,113.24898568126481
Loggi,Sao Paulo,Brazil,South America,500,2022-08-08,15.0,3333,2833,Logistics,Series F,507.0,2022,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Perion,Tel Aviv,Israel,Asia,20,2022-08-08,5.0,400,380,Marketing,Post-IPO,76.0,2022,32.08088,34.78057,Retail,0.04584106071309091,193.58928577969698
iRobot,Boston,USA,North America,140,2022-08-05,10.0,1400,1260,Consumer,Acquired,30.0,2022,42.35843,-71.05977,Consumer,0.17082623261628355,113.24898568126481
Mejuri,Toronto,Canada,North America,50,2022-08-05,10.0,500,450,Retail,Series B,28.0,2022,43.70643,-79.39864,Consumer,0.17082623261628355,113.24898568126481
Uberflip,Toronto,Canada,North America,31,2022-08-05,17.0,182,151,Marketing,Series A,42.0,2022,43.70643,-79.39864,Retail,0.04584106071309091,193.58928577969698
Doma,San Francisco Bay Area,USA,North America,250,2022-08-04,13.0,1923,1673,Finance,Post-IPO,679.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
10X Genomics,San Francisco Bay Area,USA,North America,100,2022-08-04,8.0,1250,1150,Healthcare,Post-IPO,242.0,2022,37.66243,-121.87468,Healthcare,0.5421634367891365,286.19442704934613
LEAD,Mumbai,India,Asia,80,2022-08-04,4.0,2000,1920,Education,Series E,166.0,2022,19.07283,72.88261,Other,0.31267793340442784,149.10145341991296
On Deck,San Francisco Bay Area,USA,North America,73,2022-08-04,33.0,221,148,Education,Series A,20.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
RenoRun,Montreal,Canada,North America,70,2022-08-04,12.0,583,513,Construction,Series B,163.0,2022,45.50884,-73.58781,Other,0.31267793340442784,149.10145341991296
Unbounce,Vancouver,Canada,North America,47,2022-08-03,20.0,235,188,Marketing,Series A,39.0,2022,49.24966,-123.11934,Retail,0.04584106071309091,193.58928577969698
Beyond Meat,Los Angeles,USA,North America,40,2022-08-03,4.0,1000,960,Food,Post-IPO,122.0,2022,34.05223,-118.24368,Consumer,0.17082623261628355,113.24898568126481
Robinhood,San Francisco Bay Area,USA,North America,713,2022-08-02,23.0,3100,2387,Finance,Post-IPO,5600.0,2022,37.45383,-122.18219,Other,0.31267793340442784,149.10145341991296
Latch,New York City,USA,North America,115,2022-08-02,37.0,311,196,Security,Post-IPO,342.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Nylas,San Francisco Bay Area,USA,North America,80,2022-08-02,25.0,320,240,Product,Series C,175.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Outreach,Seattle,USA,North America,60,2022-08-02,5.0,1200,1140,Sales,Series G,489.0,2022,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Sendy,Nairobi,Kenya,Africa,54,2022-08-02,20.0,270,216,Logistics,Series B,26.0,2022,-1.28333,36.81667,Other,0.31267793340442784,149.10145341991296
Sendy,Nairobi,Kenya,Africa,30,2022-08-02,10.0,300,270,Logistics,Series B,26.0,2022,-1.28333,36.81667,Other,0.31267793340442784,149.10145341991296
Stedi,Boulder,USA,North America,23,2022-08-02,30.0,77,54,Product,Series B,75.0,2022,40.01499,-105.27055,Other,0.31267793340442784,149.10145341991296
Glossier,New York City,USA,North America,19,2022-08-02,8.0,238,219,Retail,Series E,266.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Hash,Sao Paulo,Brazil,South America,58,2022-08-01,50.0,116,58,Finance,Series C,58.0,2022,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Metigy,Sydney,Australia,Australia,75,2022-07-31,100.0,75,0,Marketing,Series B,18.0,2022,-33.86785,151.20732,Retail,0.04584106071309091,193.58928577969698
Vee,Tel Aviv,Israel,Asia,16,2022-07-31,32.0,50,34,HR,Seed,15.0,2022,32.08088,34.78057,HR,0.06034258863211765,164.1777929426829
Clearco,Toronto,Canada,North America,125,2022-07-29,25.0,500,375,Finance,Series C,681.0,2022,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Quantcast,San Francisco Bay Area,USA,North America,40,2022-07-29,6.0,667,627,Marketing,Series C,65.0,2022,37.77493,-122.41942,Retail,0.04584106071309091,193.58928577969698
Career Karma,San Francisco Bay Area,USA,North America,60,2022-07-28,33.0,182,122,Education,Series B,51.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Metromile,San Francisco Bay Area,USA,North America,60,2022-07-28,20.0,300,240,Finance,Acquired,510.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Rivian,Detroit,USA,North America,840,2022-07-27,6.0,14000,13160,Transportation,Post-IPO,10700.0,2022,42.33143,-83.04575,Other,0.31267793340442784,149.10145341991296
Vox Media,Washington DC,USA,North America,39,2022-07-27,2.0,1950,1911,Media,Series F,307.0,2022,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
Skai,Tel Aviv,Israel,Asia,30,2022-07-27,4.0,750,720,Marketing,Series E,60.0,2022,32.08088,34.78057,Retail,0.04584106071309091,193.58928577969698
Shopify,Ottawa,Canada,North America,1000,2022-07-26,10.0,10000,9000,Retail,Post-IPO,122.0,2022,45.41117,-75.69812,Consumer,0.17082623261628355,113.24898568126481
InDebted,Sydney,Australia,Australia,40,2022-07-26,17.0,235,195,Finance,Series B,41.0,2022,-33.86785,151.20732,Other,0.31267793340442784,149.10145341991296
Outbrain,New York City,USA,North America,38,2022-07-26,3.0,1267,1229,Marketing,Post-IPO,394.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Dover,San Francisco Bay Area,USA,North America,23,2022-07-26,30.0,77,54,Recruiting,Series A,22.0,2022,37.33939,-121.89496,Other,0.31267793340442784,149.10145341991296
Immutable,Sydney,Australia,Australia,20,2022-07-26,6.0,333,313,Crypto,Series C,279.0,2022,-33.86785,151.20732,Other,0.31267793340442784,149.10145341991296
Pear Therapeutics,Boston,USA,North America,25,2022-07-25,9.0,278,253,Healthcare,Post-IPO,409.0,2022,42.35843,-71.05977,Healthcare,0.5421634367891365,286.19442704934613
Soluto,Tel Aviv,Israel,Asia,120,2022-07-24,100.0,120,0,Support,Acquired,18.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Eucalyptus,Sydney,Australia,Australia,50,2022-07-22,20.0,250,200,Healthcare,Series C,69.0,2022,-33.86785,151.20732,Healthcare,0.5421634367891365,286.19442704934613
Quanto,Sao Paulo,Brazil,South America,28,2022-07-22,22.0,127,99,Finance,Series A,15.0,2022,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
Clarify Health,San Francisco Bay Area,USA,North America,15,2022-07-22,5.0,300,285,Healthcare,Series D,328.0,2022,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Blockchain.com,London,United Kingdom,Europe,150,2022-07-21,25.0,600,450,Crypto,Series D,490.0,2022,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
WHOOP,Boston,USA,North America,95,2022-07-21,15.0,633,538,Fitness,Series F,404.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Sendle,Sydney,Australia,Australia,27,2022-07-04,12.0,225,198,Logistics,Series C,69.0,2022,-33.86785,151.20732,Other,0.31267793340442784,149.10145341991296
Rad Power Bikes,Seattle,USA,North America,63,2022-07-21,10.0,630,567,Transportation,Series D,329.0,2022,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Lunchbox,New York City,USA,North America,60,2022-07-21,33.0,182,122,Food,Series B,72.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
RealSelf,Seattle,USA,North America,11,2022-07-21,5.0,220,209,Healthcare,Series B,42.0,2022,47.60621,-122.33207,Healthcare,0.5421634367891365,286.19442704934613
Flyhomes,Seattle,USA,North America,200,2022-07-20,20.0,1000,800,Real Estate,Series C,310.0,2022,47.60621,-122.33207,Real Estate,0.30273994137013177,187.5233707675104
Lyft,San Francisco Bay Area,USA,North America,60,2022-07-20,2.0,3000,2940,Transportation,Post-IPO,4900.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Introhive,Ferdericton,Canada,North America,57,2022-07-20,16.0,356,299,Sales,Series C,125.0,2022,45.9636,-66.6431,Other,0.31267793340442784,149.10145341991296
Forma.ai,Toronto,Canada,North America,15,2022-07-20,9.0,167,152,Sales,Series B,58.0,2022,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Olive,Columbus,USA,North America,450,2022-07-19,31.0,1452,1002,Healthcare,Series H,856.0,2022,39.96118,-82.99879,Healthcare,0.5421634367891365,286.19442704934613
Lusha,New York City,USA,North America,30,2022-07-18,10.0,300,270,Marketing,Series B,245.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Bright Money,Bengaluru,India,Asia,100,2022-07-15,50.0,200,100,Finance,Series A,31.0,2022,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Zego,London,United Kingdom,Europe,85,2022-07-14,17.0,500,415,Finance,Series C,202.0,2022,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
The Mom Project,Chicago,USA,North America,54,2022-07-14,15.0,360,306,HR,Series C,115.0,2022,41.85003,-87.65005,HR,0.06034258863211765,164.1777929426829
Unstoppable Do.,San Francisco Bay Area,USA,North America,42,2022-07-14,25.0,168,126,Crypto,Series B,7.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Kiavi,San Francisco Bay Area,USA,North America,39,2022-07-14,7.0,557,518,Real Estate,Series E,240.0,2022,37.77493,-122.41942,Real Estate,0.30273994137013177,187.5233707675104
Wave,Dakar,Senegal,Africa,300,2022-07-13,15.0,2000,1700,Finance,Series A,292.0,2022,14.6937,-17.44406,Other,0.31267793340442784,149.10145341991296
Tonal,San Francisco Bay Area,USA,North America,262,2022-07-13,35.0,749,487,Fitness,Series E,450.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Fabric,New York City,USA,North America,120,2022-07-13,40.0,300,180,Logistics,Series C,336.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Bryter,Berlin,Germany,Europe,100,2022-07-13,30.0,333,233,Product,Series B,89.0,2022,52.52437,13.41053,Other,0.31267793340442784,149.10145341991296
ChowNow,Los Angeles,USA,North America,100,2022-07-13,20.0,500,400,Food,Series C,64.0,2022,34.05223,-118.24368,Consumer,0.17082623261628355,113.24898568126481
Arrival,London,United Kingdom,Europe,480,2022-07-13,30.0,2080,1600,Transportation,Post-IPO,629.0,2022,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Gopuff,Philadelphia,USA,North America,1500,2022-07-12,10.0,15000,13500,Food,Series H,3400.0,2022,39.95238,-75.16362,Consumer,0.17082623261628355,113.24898568126481
Hubilo,San Francisco Bay Area,USA,North America,45,2022-07-12,12.0,375,330,Marketing,Series B,153.0,2022,37.77493,-122.41942,Retail,0.04584106071309091,193.58928577969698
SundaySky,New York City,USA,North America,24,2022-07-11,13.0,185,161,Marketing,Series D,74.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Butler Hospitality,New York City,USA,North America,1000,2022-07-08,100.0,1000,0,Food,Series B,50.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Calibrate,New York City,USA,North America,156,2022-07-08,24.0,650,494,Healthcare,Series B,127.0,2022,40.71427,-74.00597,Healthcare,0.5421634367891365,286.19442704934613
Next Insurance,San Francisco Bay Area,USA,North America,150,2022-07-07,17.0,882,732,Finance,Series E,881.0,2022,37.44188,-122.14302,Other,0.31267793340442784,149.10145341991296
Emotive,Los Angeles,USA,North America,30,2022-07-07,18.0,167,137,Marketing,Series B,78.0,2022,34.05223,-118.24368,Retail,0.04584106071309091,193.58928577969698
Remote,San Francisco Bay Area,USA,North America,100,2022-07-06,9.0,1111,1011,HR,Series C,496.0,2022,37.77493,-122.41942,HR,0.06034258863211765,164.1777929426829
Anodot,Tel Aviv,Israel,Asia,35,2022-07-06,27.0,130,95,Data,Series C,64.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
SQream,New York City,USA,North America,30,2022-07-06,18.0,167,137,Data,Series B,77.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Anodot,Tel Aviv,Israel,Asia,15,2022-07-06,20.0,75,60,Data,Series C,64.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Bizzabo,New York City,USA,North America,120,2022-07-05,30.0,400,280,Marketing,Series E,194.0,2022,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Verbit,New York City,USA,North America,80,2022-07-05,10.0,800,720,Data,Series E,569.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Outschool,San Francisco Bay Area,USA,North America,31,2022-07-05,18.0,172,141,Education,Series D,240.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Transmit Security,Boston,USA,North America,27,2022-07-05,7.0,386,359,Security,Series A,583.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Thimble,New York City,USA,North America,20,2022-07-05,33.0,61,41,Finance,Series A,28.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Syte,Tel Aviv,Israel,Asia,13,2022-07-05,8.0,163,150,Retail,Series C,71.0,2022,32.08088,34.78057,Consumer,0.17082623261628355,113.24898568126481
Lightricks,Jerusalem,Israel,Asia,80,2022-07-04,12.0,667,587,Consumer,Series D,335.0,2022,31.76904,35.21633,Consumer,0.17082623261628355,113.24898568126481
Celsius,New York City,USA,North America,150,2022-07-03,25.0,600,450,Crypto,Series B,864.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
WanderJaunt,San Francisco Bay Area,USA,North America,85,2022-07-01,100.0,85,0,Travel,Series B,26.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Canoo,Los Angeles,USA,North America,58,2022-07-01,6.0,967,909,Transportation,Post-IPO,300.0,2022,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Teleport,San Francisco Bay Area,USA,North America,15,2022-07-01,6.0,250,235,Infrastructure,Series C,169.0,2022,37.80437,-122.2708,Other,0.31267793340442784,149.10145341991296
Enjoy,San Francisco Bay Area,USA,North America,400,2022-06-30,18.0,2222,1822,Retail,Post-IPO,310.0,2022,37.44188,-122.14302,Consumer,0.17082623261628355,113.24898568126481
Crejo.Fun,Bengaluru,India,Asia,170,2022-06-30,100.0,170,0,Education,Seed,3.0,2022,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Nate,New York City,USA,North America,30,2022-06-30,20.0,150,120,Retail,Series A,47.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Stream,Boulder,USA,North America,20,2022-06-30,12.0,167,147,Product,Series B,58.0,2022,40.01499,-105.27055,Other,0.31267793340442784,149.10145341991296
Finleap Connect,Hamburg,Germany,Europe,14,2022-06-30,10.0,140,126,Finance,Series A,22.0,2022,53.55073,9.99302,Other,0.31267793340442784,149.10145341991296
Abra,San Francisco Bay Area,USA,North America,12,2022-06-30,5.0,240,228,Crypto,Series C,106.0,2022,37.70215,-121.93579,Other,0.31267793340442784,149.10145341991296
Niantic,San Francisco Bay Area,USA,North America,85,2022-06-29,8.0,1063,978,Consumer,Series D,770.0,2022,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Qumulo,Seattle,USA,North America,80,2022-06-29,19.0,421,341,Data,Series E,347.0,2022,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Clutch,Toronto,Canada,North America,76,2022-06-29,22.0,345,269,Transportation,Series B,153.0,2022,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Baton,San Francisco Bay Area,USA,North America,16,2022-06-29,25.0,64,48,Transportation,Series A,13.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Substack,San Francisco Bay Area,USA,North America,13,2022-06-29,14.0,93,80,Media,Series B,82.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
StockX,Detroit,USA,North America,120,2022-06-28,8.0,1500,1380,Retail,Series E,690.0,2022,42.33143,-83.04575,Consumer,0.17082623261628355,113.24898568126481
Sidecar Health,Los Angeles,USA,North America,110,2022-06-28,40.0,275,165,Healthcare,Series C,163.0,2022,34.05223,-118.24368,Healthcare,0.5421634367891365,286.19442704934613
Vezeeta,Dubai,United Arabian Emirates,Asia,50,2022-06-28,10.0,500,450,Healthcare,Series D,71.0,2022,25.07725,55.30927,Healthcare,0.5421634367891365,286.19442704934613
HealthMatch,Sydney,Australia,Australia,18,2022-06-28,50.0,36,18,Healthcare,Series B,20.0,2022,-33.86785,151.20732,Healthcare,0.5421634367891365,286.19442704934613
AppLovin,San Francisco Bay Area,USA,North America,300,2022-06-27,12.0,2500,2200,Marketing,Post-IPO,1600.0,2022,37.44188,-122.14302,Retail,0.04584106071309091,193.58928577969698
UiPath,New York City,USA,North America,210,2022-06-27,5.0,4200,3990,Data,Post-IPO,2000.0,2022,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Banxa,Melbourne,Australia,Australia,70,2022-06-27,30.0,233,163,Crypto,Post-IPO,13.0,2022,-37.814,144.96332,Other,0.31267793340442784,149.10145341991296
SafeGraph,San Francisco Bay Area,USA,North America,27,2022-06-27,25.0,108,81,Data,Series B,61.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Bitpanda,Vienna,Austria,Europe,270,2022-06-24,27.0,1000,730,Crypto,Series C,546.0,2022,48.20849,16.37208,Other,0.31267793340442784,149.10145341991296
Sunday,Atlanta,USA,North America,90,2022-06-24,23.0,391,301,Finance,Series A,124.0,2022,33.749,-84.38798,Other,0.31267793340442784,149.10145341991296
Bestow,Dallas,USA,North America,41,2022-06-24,14.0,293,252,Finance,Series C,137.0,2022,32.78306,-96.80667,Other,0.31267793340442784,149.10145341991296
Ethos Life,San Francisco Bay Area,USA,North America,40,2022-06-24,12.0,333,293,Finance,Series D,406.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Netflix,San Francisco Bay Area,USA,North America,300,2022-06-23,3.0,10000,9700,Media,Post-IPO,121900.0,2022,37.22661,-121.97468,Other,0.31267793340442784,149.10145341991296
Aura,Boston,USA,North America,70,2022-06-23,9.0,778,708,Security,Series F,500.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Vouch,San Francisco Bay Area,USA,North America,15,2022-06-23,7.0,214,199,Finance,Series C,159.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
MasterClass,San Francisco Bay Area,USA,North America,120,2022-06-22,20.0,600,480,Education,Series E,461.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
IronNet,Washington DC,USA,North America,90,2022-06-22,35.0,257,167,Security,Post-IPO,410.0,2022,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
IronNet,Washington DC,USA,North America,55,2022-06-22,17.0,324,269,Security,Post-IPO,410.0,2022,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
Superpedestrian,Boston,USA,North America,35,2022-06-22,7.0,500,465,Transportation,Series C,261.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Voi,Stockholm,Sweden,Europe,35,2022-06-22,10.0,350,315,Transportation,Series D,515.0,2022,59.32938,18.06871,Other,0.31267793340442784,149.10145341991296
Ritual,Toronto,Canada,North America,23,2022-06-22,16.0,144,121,Food,Series C,134.0,2022,43.70643,-79.39864,Consumer,0.17082623261628355,113.24898568126481
Ebanx,Curitiba,Brazil,South America,340,2022-06-21,20.0,1700,1360,Finance,Series B,460.0,2022,-25.42778,-49.27306,Other,0.31267793340442784,149.10145341991296
Sourcegraph,San Francisco Bay Area,USA,North America,24,2022-06-21,8.0,300,276,Product,Series D,248.0,2022,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Trax,Singapore,Singapore,Asia,100,2022-06-20,12.0,833,733,Retail,Series E,1000.0,2022,1.28967,103.85007,Consumer,0.17082623261628355,113.24898568126481
Bonsai,Toronto,Canada,North America,30,2022-06-20,55.0,55,25,Retail,Series A,27.0,2022,43.70643,-79.39864,Consumer,0.17082623261628355,113.24898568126481
Brighte,Sydney,Australia,Australia,30,2022-06-20,15.0,200,170,Energy,Series C,145.0,2022,-33.86785,151.20732,Energy,0.4247239053189012,104.4788185080283
CityMall,Gurugram,India,Asia,191,2022-06-19,30.0,637,446,Retail,Series C,112.0,2022,28.4601,77.02635,Consumer,0.17082623261628355,113.24898568126481
BitOasis,Dubai,United Arabian Emirates,Asia,9,2022-06-19,5.0,180,171,Crypto,Series B,30.0,2022,25.07725,55.30927,Other,0.31267793340442784,149.10145341991296
Unacademy,Bengaluru,India,Asia,150,2022-06-18,3.0,5000,4850,Education,Series H,838.0,2022,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Socure,Reno,USA,North America,69,2022-06-17,13.0,531,462,Finance,Series E,646.0,2022,39.52963,-119.8138,Other,0.31267793340442784,149.10145341991296
Finite State,Columbus,USA,North America,16,2022-06-17,20.0,80,64,Security,Series B,49.0,2022,39.96118,-82.99879,Other,0.31267793340442784,149.10145341991296
JOKR,New York City,USA,North America,50,2022-06-16,5.0,1000,950,Food,Series B,430.0,2022,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Zumper,San Francisco Bay Area,USA,North America,45,2022-06-16,15.0,300,255,Real Estate,Series D,178.0,2022,37.77493,-122.41942,Real Estate,0.30273994137013177,187.5233707675104
Swappie,Helsinki,Finland,Europe,250,2022-06-15,17.0,1471,1221,Retail,Series C,169.0,2022,60.16952,24.93545,Consumer,0.17082623261628355,113.24898568126481
Weee!,Fremont,USA,North America,150,2022-06-15,10.0,1500,1350,Food,Series E,863.0,2022,33.66946,-117.82311,Consumer,0.17082623261628355,113.24898568126481
Notarize,Boston,USA,North America,110,2022-06-15,25.0,440,330,Legal,Series D,213.0,2022,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
OpenWeb,Tel Aviv,Israel,Asia,14,2022-06-15,5.0,280,266,Media,Series E,223.0,2022,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
